,#,ID1_2,ID2_2,ID3_2,RA_2,Dec_2,z_2,S_NVSS,L_NVSS,S_First,L_First,size_rad,FRclass,g_min_r,concent,mass_2,bk4000,o3lum_1,Mbh/Mstar,R_50_kpc,mu50,sfr_tot_p50,specsfr_tot_p50,o3lum_2,o3redcor,o3sn,o3lumlim,o3
0,,267,51608,34,9.9446584,-0.02334,0.13917000000000002,0.166,24.92,0.0022,23.04231468952013,107.66,200,1.06,2.93,11.5,2.04,6.77,0.001318256391182683,8.715676404979812,662548899.2822919,-0.7194909,-12.27865,6.77,7.86,6.69,6.42,6.77
1,,267,51608,205,9.8472382,-0.88775,0.27146,0.0558,25.08,0.0151,24.512342720233544,30.0,200,1.14,3.03,11.78,2.0,6.98,0.0014454392628956644,11.373568019853144,741355316.0026404,-0.9165085,-12.756739999999999,6.98,8.14,2.68,7.03,6.98
2,,303,51615,521,14.257973999999999,1.0965,0.16458,0.10099999999999999,24.86,0.0134,23.982784022570282,112.04,210,1.1,2.66,11.52,1.96,7.16,0.0003890444273740708,7.140223650603742,1033705813.993133,-1.1161,-12.704369999999999,7.16,8.26,12.55,6.53,7.16
3,,291,51660,42,12.746169,-1.01928,0.14677,0.0443,24.39,0.0,0.0,12.19,200,0.98,3.38,11.46,1.96,0.0,0.001862085010390618,13.6305697130794,247054149.8036186,-0.9537708,-12.46875,0.0,1.09,-0.09,6.3,0.0
4,,308,51662,8,14.838663,-1.11319,0.11945,0.0992,24.55,0.0,0.0,8.77,200,1.09,3.17,11.16,1.37,8.39,0.005623413251903491,4.6755408359376345,1052340464.4326586,0.12474500000000001,-11.093,8.39,8.94,107.26,6.84,8.39
5,,285,51663,190,11.994895,-0.53164,0.17823,0.052000000000000005,24.64,0.0028,23.37115405146989,123.28,210,0.98,3.26,11.61,1.82,0.0,0.0017378037289612748,7.8886182539653715,1041880495.5819428,-0.9918458,-12.65808,0.0,1.13,-1.03,6.45,0.0
6,,299,51671,569,13.72955,0.9791700000000001,0.22898000000000002,0.0572,24.92,0.0211,24.48688648807673,22.45,210,1.17,3.3,11.69,2.17,6.5,0.0012882513621828178,9.410304512093788,880262817.7533035,-1.010772,-12.73884,6.5,7.65,1.77,6.73,0.0
7,,312,51689,471,15.277839000000002,0.25051,0.05259,2.722,25.25,0.7557,24.693461313572392,254.32,200,0.89,3.27,11.15,1.31,7.34,0.004466841806792098,3.411786591833817,1931327987.1152601,0.6364016,-10.56222,7.34,7.53,59.77,6.04,7.34
8,,340,51691,516,13.242904999999999,-1.7276200000000002,0.21971,0.1045,25.15,0.0095,24.108606910721825,50.01,200,1.07,2.99,11.46,1.82,6.93,0.0013489632380568445,8.162003665940562,689011703.3841077,-0.564405,-12.08263,6.93,8.02,5.37,6.68,6.93
9,,339,51692,291,13.018761,-3.4479599999999997,0.08337,0.1126,24.28,0.0,0.0,10.12,200,1.06,3.0,11.56,2.09,6.13,0.0009332528252673828,7.428161272918293,1047268167.3604103,-1.068825,-12.648639999999999,6.13,7.24,2.12,6.28,0.0
10,,344,51693,473,16.064299,0.11354000000000002,0.15921,0.11,24.86,0.0036,23.374910407265205,172.58,210,1.0,3.09,11.26,1.67,7.55,0.0006165949477018448,5.960193719002023,815266523.3407438,-0.8017145999999999,-12.129760000000001,7.55,8.57,19.74,6.73,7.55
11,,349,51699,169,16.979768,62.940169999999995,0.10627,0.258,24.86,0.0,0.0,138.8,200,0.95,3.01,11.09,1.8,6.33,0.0006456541439665037,5.525310595977372,641367415.4226934,-1.186871,-12.31765,6.33,7.29,9.9,5.81,6.33
12,,385,51783,496,23.68327,0.08163,0.18481,0.589,25.73,0.0045,23.613096763606443,80.63,210,1.1,2.78,11.98,2.04,6.54,0.0008912525038250655,16.148510878908876,582847198.092391,-0.6869075,-12.75177,6.54,7.73,2.38,6.64,0.0
13,,352,51789,406,17.224752,64.04686,0.07844,0.2502,24.57,0.0,0.0,21.49,200,1.0,3.0,11.55,1.93,5.99,0.001698241862446276,8.023180106306823,877257802.2014825,-0.8077245,-12.40897,5.99,7.11,2.24,6.12,0.0
14,,393,51794,445,0.7346307,1.0313299999999999,0.11173,0.366,25.06,0.011000000000000001,23.537911077325468,180.11,200,1.03,3.48,11.14,1.78,7.02,0.001380382324630963,5.81367655334521,650008061.8706838,-0.7385099,-11.93535,7.02,7.36,14.97,6.32,7.02
15,,393,51794,390,0.6978253000000001,0.47639,0.15199000000000001,0.08800000000000001,24.72,0.0,0.0,33.83,210,1.07,2.99,11.51,1.94,5.85,0.001380382324630963,8.827042711727518,660982413.3935598,-1.097456,-12.6729,5.85,6.95,0.67,6.5,0.0
16,,382,51816,189,23.261694,-0.43525,0.09096,0.045,23.96,0.0,0.0,50.37,210,0.99,3.4,11.11,1.95,6.21,0.003981075202376553,5.253498126343398,742886771.3775388,-1.067458,-12.232000000000001,6.21,7.18,3.25,6.18,6.21
17,,390,51816,211,0.35211729999999997,-0.9254100000000001,0.10822000000000001,0.1119,24.51,0.0,0.0,41.4,200,1.01,3.17,11.59,1.99,5.41,0.0008511386362915022,8.282713934961981,902557667.3833867,-1.082668,-12.711319999999999,5.41,6.53,0.68,6.06,0.0
18,,400,51820,412,1.5464353000000002,1.26271,0.1256,0.212,24.93,0.0016,22.807784433374447,82.13,200,1.06,3.08,11.73,2.02,6.33,0.001318259285966512,15.38683118736717,361011715.4649639,-0.7516997,-12.5175,6.33,7.48,1.76,6.56,0.0
19,,359,51821,502,17.463804,53.781000000000006,0.20713,0.9420000000000001,26.04,0.0,0.0,140.75,200,1.02,3.29,11.47,1.88,6.46,0.001862085010390618,6.950913509309228,972157496.5960847,-1.552614,-13.07437,6.46,7.55,1.86,6.67,0.0
20,,403,51871,248,1.9468279999999998,-1.11374,0.23747,0.0556,24.95,0.0,0.0,15.46,200,1.09,3.19,11.56,1.92,0.0,0.001,12.682894837154329,359239239.56597966,-0.9036466999999999,-12.5439,0.0,1.12,-1.09,6.55,0.0
21,,439,51877,637,8.292906200000001,44.98079,0.14212,0.1356,24.85,0.0,0.0,24.73,200,1.02,3.28,11.17,1.98,5.92,0.001698241862446276,6.696777228249943,524914420.1745153,-1.176296,-12.36368,5.92,6.91,1.3,6.28,0.0
22,,436,51883,10,8.0188614,43.84182,0.25535,0.0735,25.14,0.0,0.0,18.84,200,1.11,2.69,11.76,1.99,6.5,0.00044668319979922937,16.837295220981982,323054434.565752,-0.5052838,-12.330219999999999,6.5,7.66,1.79,6.72,0.0
23,,446,51899,273,8.6510712,54.11885,0.17024,0.0708,24.73,0.0,0.0,28.03,210,1.1,2.87,11.41,1.98,5.96,0.0004897794216562508,8.732015729243491,536526231.86028636,-0.7691624,-12.25155,5.96,7.03,1.07,6.4,0.0
24,,449,51900,342,8.8227214,54.22513000000001,0.11350999999999999,0.0537,24.24,0.0,0.0,23.85,200,1.03,3.12,11.25,1.93,6.02,0.0026302684539632835,6.286062623680719,716246850.1672099,-1.07507,-12.371360000000001,6.02,7.04,1.04,6.48,0.0
25,,448,51900,335,8.8036591,57.00119,0.19369,0.322,25.51,0.0008,22.905234335987462,143.37,200,1.04,3.15,11.24,1.81,7.58,0.0008511386362915022,8.010685493108271,431003245.26586133,-0.7024372,-12.00385,7.58,8.6,25.64,6.65,7.58
26,,450,51908,638,9.3165253,55.322309999999995,0.22596,0.0614,24.94,0.0,0.0,10.58,200,1.03,2.72,11.51,1.85,0.0,0.0011748967293472915,8.337544232444046,740873495.9979224,-0.8424502,-12.41667,0.0,1.1,-0.41,6.6,0.0
27,,450,51908,330,9.030643699999999,55.9243,0.1409,0.638,25.51,0.0,0.0,176.48,200,1.03,3.0,11.01,1.85,6.59,0.001096478099832217,5.482615083923769,541807293.9779637,-0.27484790000000003,-11.35155,6.59,7.53,7.96,6.17,6.59
28,,456,51910,449,2.7662621,-6.81686,0.13857,0.102,24.7,0.0053,23.41567646602878,79.22,210,1.02,3.06,11.48,1.86,5.77,0.001318259285966512,8.757158323072352,626748453.2850987,-0.9222667,-12.43187,5.77,6.86,0.77,6.36,0.0
29,,275,51910,617,10.820580999999999,0.9958899999999999,0.10647999999999999,0.098,24.44,0.0031,22.94013617015257,71.47,210,1.03,3.19,11.4,1.91,5.97,0.0016982455916472975,6.704224762212474,889452210.1251359,-1.066354,-12.49565,5.97,7.04,1.47,6.28,0.0
30,,274,51913,218,10.652595,-0.78773,0.09515,0.043,23.98,0.0,0.0,115.91,210,1.01,3.19,11.47,1.92,6.33,0.0027542260421949856,7.657212222966505,801085795.0237324,-1.124576,-12.64828,6.33,6.33,6.35,6.01,6.33
31,,488,51914,191,10.292365,63.49828,0.18383,0.1627,25.17,0.0,0.0,27.4,200,1.01,2.45,11.28,1.78,7.06,0.0014125394057124814,5.679037506285477,940308562.362474,-0.02361588,-11.36495,7.06,8.09,9.36,6.57,7.06
32,,290,51941,291,12.546113,-0.92355,0.20496,0.064,24.87,0.0042,23.687070135924767,133.36,200,1.03,3.28,11.62,2.04,6.13,0.001380385355838289,8.609536596202373,895077137.6535944,-1.249627,-12.9104,6.13,7.26,0.76,6.73,0.0
33,,472,51955,469,9.221021499999999,0.7456699999999999,0.22530999999999998,0.040999999999999995,24.76,0.0,0.0,37.53,200,0.99,2.76,11.36,1.57,8.1,0.009549936765056095,8.283211441267762,531400909.401792,-0.5266325,-11.93967,8.1,8.67,46.67,6.91,8.1
34,,548,51986,512,8.4550868,46.58636,0.12487000000000001,0.091,24.55,0.0112,23.640175867814108,108.07,210,1.07,3.35,11.38,2.01,6.16,0.0020892946627203614,7.296978162974186,717024760.1994783,-1.170032,-12.588610000000001,6.16,7.22,2.28,6.28,0.0
35,,294,51986,627,13.199145999999999,0.23093000000000002,0.21211999999999998,0.0968,25.08,0.0,0.0,26.48,200,1.11,3.19,11.5,1.94,6.36,0.0012302692030632099,10.257659650534178,478325530.13454884,-1.005364,-12.52582,6.36,7.45,1.3,6.72,0.0
36,,552,51992,214,9.0161102,51.16591,0.12499,0.092,24.56,0.0,0.0,38.65,200,1.04,3.21,11.56,1.96,5.92,0.0018196978217203765,6.339706385093497,1437746311.4460213,-1.124788,-12.72452,5.92,7.03,2.14,6.07,0.0
37,,512,51992,594,11.493139,2.29244,0.12635,0.0766,24.49,0.0,0.0,19.1,200,1.02,3.31,11.33,1.89,5.76,0.001148154730847072,6.0821666746833705,919821212.2502806,-1.0318690000000001,-12.41,5.76,6.8,0.66,6.41,0.0
38,,514,51994,75,11.797656,2.27337,0.27934000000000003,0.0999,25.36,0.0,0.0,13.23,200,1.03,3.16,11.68,1.99,6.2,0.0007943275370132719,10.761766963304694,657738509.3560318,-0.526942,-12.272219999999999,6.2,7.34,1.32,6.56,0.0
39,,514,51994,221,11.716316,1.90618,0.13244,0.3863,25.24,0.0823,24.568474885950327,37.79,210,0.58,3.18,10.6,1.21,6.96,0.002454705465872905,3.883732870819076,420070139.9637973,0.5376411999999999,-10.108239999999999,6.96,7.51,12.69,6.33,6.96
40,,543,52017,11,7.9404887,37.05825,0.07745,0.193,24.44,0.0054,22.886836994190563,115.39,210,1.04,3.41,11.39,1.99,5.58,0.0009549915794217654,5.673131141680907,1213877409.1353712,-1.24308,-12.700460000000001,5.58,6.64,1.36,5.92,0.0
41,,366,52017,349,17.341197,59.228269999999995,0.22111999999999998,0.08199999999999999,25.05,0.0325,24.648068723353948,43.89,210,1.11,2.99,11.32,1.83,6.56,0.0008128302305789093,7.239021590941591,634541575.5061902,-0.8511324,-12.23045,6.56,7.6,2.37,6.66,0.0
42,,506,52022,485,10.70871,2.6196,0.18699000000000002,0.11,25.01,0.0,0.0,80.49,200,0.95,2.97,11.33,1.74,6.51,0.0007413100459583174,6.100692898239817,914243177.2871981,-0.6555819,-12.07277,6.51,7.56,2.75,6.55,6.51
43,,287,52023,573,12.242898,0.7910699999999999,0.25103000000000003,0.068,25.09,0.0044,23.900943890481877,109.39,200,1.08,3.25,11.68,1.94,6.77,0.0009120109194638906,11.254836377211628,601370424.4783381,-0.8781601000000001,-12.62181,6.77,7.91,2.84,6.79,6.77
44,,595,52023,612,16.055274,3.27905,0.2222,0.127,25.24,0.0,0.0,9.52,210,1.21,2.86,11.84,1.87,6.95,0.0010471273523601449,11.811446036995775,789249188.3899733,0.5519804,-11.34175,6.95,8.12,2.46,7.03,0.0
45,,522,52024,52,12.829868,1.72511,0.15825,0.165,25.03,0.0,0.0,94.31,200,1.1,3.42,11.54,2.01,5.59,0.0008511386362915022,8.717967944436394,726088499.2596456,-0.9637438,-12.57,5.59,6.7,0.53,6.35,0.0
46,,517,52024,391,12.068442,2.4115599999999997,0.08451,0.2256,24.59,0.1453,24.398926651621213,35.41,200,1.06,3.01,11.67,2.01,5.79,0.0006456534350656749,10.850940941897678,632245007.1582137,-0.8904479999999999,-12.60112,5.79,6.93,2.09,5.95,0.0
47,,523,52026,323,12.872948,3.265,0.09885,0.919,25.34,0.0,0.0,51.06,210,1.07,3.04,11.45,1.98,6.17,0.001096478099832217,5.1293868225445065,1704861240.7574716,-1.125831,-12.61635,6.17,7.25,2.99,6.17,6.17
48,,588,52029,358,14.806363000000001,4.19785,0.21458000000000002,0.057999999999999996,24.87,0.0,0.0,67.06,200,1.13,3.08,11.46,1.87,6.48,0.0006760828566222642,7.91017460496854,733580924.6339731,-0.23738499999999998,-11.76898,6.48,7.57,1.26,6.86,0.0
49,,629,52051,526,16.738879999999998,45.778999999999996,0.22464,0.1749,25.39,0.1151,25.208284914144944,24.16,210,0.6,3.43,11.5,1.31,7.09,0.0015488151224416985,7.217949730070647,966034030.363768,1.087177,-10.45673,7.09,8.19,4.05,6.96,7.09
50,,515,52051,167,11.906824,2.1147099999999996,0.13243,0.063,24.45,0.0,0.0,32.96,210,1.0,3.26,11.56,1.97,5.84,0.0013489602758497822,10.049983182106422,572123624.4438176,-1.170679,-12.8,5.84,6.96,1.59,6.12,0.0
51,,611,52055,163,15.089625,60.6704,0.15858,0.0546,24.56,0.0,0.0,43.7,210,1.02,3.36,11.73,2.02,6.13,0.0009332548746146908,11.580161537876325,637368269.0214291,-0.8045983,-12.60323,6.13,7.29,0.86,6.68,0.0
52,,329,52056,2,11.847497,-3.18697,0.12855,0.0526,24.34,0.0,0.0,9.23,200,0.98,3.17,11.33,1.98,5.5,0.0017377999128939915,7.572342563562317,593416407.3879418,-0.9912271,-12.40053,5.5,6.55,0.47,6.31,0.0
53,,603,52056,152,13.477007,63.48817,0.21899000000000002,0.138,25.26,0.003,23.59724240528963,105.95,200,1.05,2.83,11.43,1.82,6.19,0.001380382324630963,6.442329994659032,1032130241.467731,-0.11296220000000001,-11.62161,6.19,7.26,1.17,6.59,0.0
54,,603,52056,96,13.510926000000001,62.918690000000005,0.2211,0.0494,24.83,0.0,0.0,39.43,200,1.13,2.94,11.68,1.88,5.61,0.001096478099832217,14.049156469885915,385940129.30075586,-1.149893,-12.89524,5.61,6.76,0.22,6.75,0.0
55,,628,52083,387,16.585725,42.80005,0.2287,0.0403,24.77,0.0044,23.808148066046844,49.56,200,1.12,3.01,11.44,1.98,0.0,0.001949844428490234,9.657682941235095,469973991.8484872,-0.6717094,-12.19021,0.0,1.08,-1.39,6.53,0.0
